"sparse","N","T0","gamma","Measure","OLS","LSDV","EBMLE","URE","AH","GMM1","GMM2","LASSO","RIDGE","ELASTIC_NET"
0.3,100,10,0.8,"Bias",-0.02674,0.02421,0.02122,0.02672,-0.00463,-0.0026,-0.00295,-0.03489,-0.03485,-0.03494
0.3,100,10,0.8,"Var",24.98607,24.13798,23.2282,23.71993,27.42475,26.34426,26.22449,24.98097,25.01365,24.98115
0.3,100,10,0.8,"MSE",1.13653,1.19604,1.19887,1.19579,2.32829,1.58645,1.5524,1.13517,1.1366,1.13533
0.3,100,20,0.2,"Bias",-0.03601,0.00332,0.0035,0.00318,-0.00177,-0.00172,-0.00179,-0.00661,0.00174,-0.00642
0.3,100,20,0.2,"Var",5.8306,6.79461,6.614,6.64966,8.17688,8.15265,8.15129,6.39489,6.29166,6.38839
0.3,100,20,0.2,"MSE",1.69162,1.06545,1.06181,1.06224,1.99738,1.98686,1.98806,1.12924,1.1263,1.12911
0.3,100,20,0.8,"Bias",-0.02043,0.0119,0.01381,0.01004,-0.00181,-0.00008,-0.00011,-0.01087,-0.01079,-0.0108
0.3,100,20,0.8,"Var",27.94588,27.6473,27.1317,27.37165,30.46938,30.19108,30.19054,27.96927,27.98007,27.96875
0.3,100,20,0.8,"MSE",1.13188,1.09839,1.09805,1.0973,2.01506,1.85751,1.85767,1.11659,1.12259,1.11654
0.3,100,30,0.2,"Bias",0.01828,-0.00178,-0.00171,-0.00184,0.00031,0.0003,0.00157,0.04613,0.047,0.04629
0.3,100,30,0.2,"Var",5.04548,5.79171,5.69293,5.70423,7.1763,7.16388,7.064,5.50259,5.42946,5.49751
0.3,100,30,0.2,"MSE",1.62759,1.04552,1.04397,1.0441,2.00435,1.99535,1.96924,1.10555,1.10862,1.10546
0.3,100,30,0.8,"Bias",0.00326,-0.0018,-0.00094,-0.00255,0.0001,-0.00005,0.00051,0.02213,0.02085,0.02208
0.3,100,30,0.8,"Var",25.09554,24.9216,24.57874,24.69012,27.71628,27.57094,27.46339,25.18769,25.17854,25.18732
0.3,100,30,0.8,"MSE",1.12909,1.06533,1.06452,1.06452,2.00363,1.91526,1.85176,1.10515,1.10421,1.10479
0.4,20,5,0.2,"Bias",-0.04765,0.10326,0.10465,0.10234,-0.01284,-0.00701,-0.00336,0.30172,0.3041,0.30156
0.4,20,5,0.2,"Var",3.88385,4.3509,3.94953,3.97154,5.72817,5.78388,5.77445,3.77323,3.76427,3.77071
0.4,20,5,0.2,"MSE",1.68311,1.38875,1.3279,1.32891,2.09471,2.21919,2.22718,1.66844,1.68536,1.66844
0.4,20,5,0.8,"Bias",-0.00377,0.13866,0.22379,0.10195,0.01579,0.12426,0.1216,0.09414,0.09258,0.09413
0.4,20,5,0.8,"Var",16.81304,17.25347,14.15096,16.28719,21.38187,23.30354,23.43189,17.05943,17.07584,17.05961
0.4,20,5,0.8,"MSE",1.20665,1.36989,1.51865,1.36536,4.56504,7.46884,7.59289,1.20147,1.20269,1.20144
